what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1419440919706
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1419440919706
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1419440919706
java.vm.specification.version,sysinfo,,,"1.7",1419440919706
java.vm.vendor,sysinfo,,,"Oracle Corporation",1419440919706
java.vm.version,sysinfo,,,"23.5-b02",1419440919706
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1419440926601
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1419440953776
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1419440953792
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1419440959049
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1419440966840
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1419440966934
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1419440967464
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1419440967464
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1419440967464
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1419440967464
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1419440967464
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1419440967464
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1419440967464
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1419440967464
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1419440967464
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.408.v200904211646,"org.eclipse.jst.ws.creation.ui",1419440967464
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.104.v200904211646,"org.eclipse.jst.ws.consumption.ui",1419440967464
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.407.v200905191120,"org.eclipse.jst.ws.consumption",1419440967464
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1419440967464
